Identifier,Title,Start date,End date,Number of deaths,Incident_Type,State,number_of_death,Incident Duration,Month_Year,Day_of_Week,Year
IBD031681,"Food Poisoning, Imo",2025-04-18,2025-04-18,1,Food Poisoning, Imo,1,0,2025-04,Friday,2025
IBD032064,"Gunmen Kill Man, Benue",2025-03-31,2025-03-31,1,Gunmen Kill Man, Benue,1,0,2025-03,Monday,2025
IBD032058,"Auto Crash, Lagos",2025-03-31,2025-03-31,1,Auto Crash, Lagos,1,0,2025-03,Monday,2025
IBD032066,"Stray Bullets, Sokoto",2025-03-31,2025-03-31,1,Stray Bullets, Sokoto,1,0,2025-03,Monday,2025
IBD032062,"Lightening Kills Herder, Kaduna",2025-03-30,2025-03-30,1,Lightening Kills Herder, Kaduna,1,0,2025-03,Sunday,2025
IBD032049,"Auto Crash, Katsina",2025-03-30,2025-03-30,9,Auto Crash, Katsina,9,0,2025-03,Sunday,2025
IBD032065,"Sallah Day Celebration Clash, Plateau",2025-03-30,2025-03-30,4,Sallah Day Celebration Clash, Plateau,4,0,2025-03,Sunday,2025
IBD032054,"Auto Crash, Abia",2025-03-30,2025-03-30,1,Auto Crash, Abia,1,0,2025-03,Sunday,2025
IBD032048,"Gas Explosion, Delta",2025-03-30,2025-03-30,2,Gas Explosion, Delta,2,0,2025-03,Sunday,2025
IBD032061,"Auto Crash, Ogun",2025-03-30,2025-03-30,1,Auto Crash, Ogun,1,0,2025-03,Sunday,2025
IBD032052,"Stampede, Gombe",2025-03-30,2025-03-30,2,Stampede, Gombe,2,0,2025-03,Sunday,2025
IBD032063,"Fishing Activities, Kogi",2025-03-30,2025-03-30,2,Fishing Activities, Kogi,2,0,2025-03,Sunday,2025
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",2025-03-29,2025-03-29,1,Herdsmen Kill Graduate, FCT (Abuja),1,0,2025-03,Saturday,2025
IBD032060,"Labourer Kills Employer, Ondo",2025-03-29,2025-03-29,1,Labourer Kills Employer, Ondo,1,0,2025-03,Saturday,2025
IBD032050,"Auto Crash, Lagos",2025-03-29,2025-03-29,1,Auto Crash, Lagos,1,0,2025-03,Saturday,2025
IBD032059,"Extrajudicial Killing, Delta",2025-03-29,2025-03-29,1,Extrajudicial Killing, Delta,1,0,2025-03,Saturday,2025
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",2025-03-28,2025-03-28,6,Security Forces vs Shiites Members, FCT (Abuja),6,0,2025-03,Friday,2025
IBD032056,"Pirates vs Fashion Designer, Rivers (Offshore)",2025-03-28,2025-03-28,1,Pirates vs Fashion Designer, Rivers (Offshore),1,0,2025-03,Friday,2025
IBD032042,"Gas Explosion, Abia",2025-03-27,2025-03-27,2,Gas Explosion, Abia,2,0,2025-03,Thursday,2025
IBD032051,"Gunmen Attack, Plateau",2025-03-27,2025-03-27,52,Gunmen Attack, Plateau,52,0,2025-03,Thursday,2025
IBD032028,"Auto Crash, Kano",2025-03-26,2025-03-26,2,Auto Crash, Kano,2,0,2025-03,Wednesday,2025
IBD032027,"Lakurawa vs Customs Officers, Kebbi",2025-03-26,2025-03-26,2,Lakurawa vs Customs Officers, Kebbi,2,0,2025-03,Wednesday,2025
IBD032045,"Domestic Violence, Sokoto",2025-03-26,2025-03-26,1,Domestic Violence, Sokoto,1,0,2025-03,Wednesday,2025
IBD032037,"Domestic Violence, Edo",2025-03-26,2025-03-26,1,Domestic Violence, Edo,1,0,2025-03,Wednesday,2025
IBD032033,"Taskforce Raid, FCT (Abuja)",2025-03-26,2025-03-26,2,Taskforce Raid, FCT (Abuja),2,0,2025-03,Wednesday,2025
IBD032032,"Chieftaincy Tussle, Ondo",2025-03-26,2025-03-26,1,Chieftaincy Tussle, Ondo,1,0,2025-03,Wednesday,2025
IBD032039,"Domestic Violence, Lagos",2025-03-26,2025-03-26,1,Domestic Violence, Lagos,1,0,2025-03,Wednesday,2025
IBD032044,"Domestic Violence, Ekiti",2025-03-25,2025-03-25,2,Domestic Violence, Ekiti,2,0,2025-03,Tuesday,2025
IBD032030,"Rainstorm, Cross River",2025-03-25,2025-03-25,3,Rainstorm, Cross River,3,0,2025-03,Tuesday,2025
IBD032025,"Auto Crash, Abia",2025-03-25,2025-03-25,2,Auto Crash, Abia,2,0,2025-03,Tuesday,2025
IBD032034,"Gunmen vs Land Agent, Delta",2025-03-25,2025-03-25,1,Gunmen vs Land Agent, Delta,1,0,2025-03,Tuesday,2025
IBD032041,"Pipeline Vandal, Rivers",2025-03-25,2025-03-25,1,Pipeline Vandal, Rivers,1,0,2025-03,Tuesday,2025
IBD032020,"Troops vs Armed Robber, Plateau",2025-03-24,2025-03-24,1,Troops vs Armed Robber, Plateau,1,0,2025-03,Monday,2025
IBD032019,"Troops Kill Bandit, Plateau",2025-03-24,2025-03-24,1,Troops Kill Bandit, Plateau,1,0,2025-03,Monday,2025
IBD032014,"Kidnapper, Anambra",2025-03-24,2025-03-24,1,Kidnapper, Anambra,1,0,2025-03,Monday,2025
IBD032026,"Ritual Killing, Rivers",2025-03-24,2025-03-24,2,Ritual Killing, Rivers,2,0,2025-03,Monday,2025
IBD032017,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,8,Army vs Boko Haram, Borno,8,0,2025-03,Monday,2025
IBD032009,"Jailbreak, Kogi",2025-03-24,2025-03-24,1,Jailbreak, Kogi,1,0,2025-03,Monday,2025
IBD032055,"Auto Crash, Lagos",2025-03-24,2025-03-24,1,Auto Crash, Lagos,1,0,2025-03,Monday,2025
IBD032012,"Gunmen vs Police, Enugu",2025-03-24,2025-03-24,1,Gunmen vs Police, Enugu,1,0,2025-03,Monday,2025
IBD032016,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,3,Army vs Boko Haram, Borno,3,0,2025-03,Monday,2025
IBD031984,"Extrajudicial Killing, Cross River",2025-03-23,2025-03-23,2,Extrajudicial Killing, Cross River,2,0,2025-03,Sunday,2025
IBD032006,"Assailants vs Motorcycle Rider, Bauchi",2025-03-23,2025-03-23,1,Assailants vs Motorcycle Rider, Bauchi,1,0,2025-03,Sunday,2025
IBD032018,"Hunter Killed, Ogun",2025-03-23,2025-03-23,1,Hunter Killed, Ogun,1,0,2025-03,Sunday,2025
IBD032007,"Gunmen Attack, Plateau",2025-03-23,2025-03-23,3,Gunmen Attack, Plateau,3,0,2025-03,Sunday,2025
IBD032008,"Auto Crash, Osun",2025-03-23,2025-03-23,8,Auto Crash, Osun,8,0,2025-03,Sunday,2025
IBD032010,"Bandits Kill 2, Kogi",2025-03-23,2025-03-23,2,Bandits Kill 2, Kogi,2,0,2025-03,Sunday,2025
IBD031983,"Bandits Attack, Sokoto",2025-03-22,2025-03-22,1,Bandits Attack, Sokoto,1,0,2025-03,Saturday,2025
IBD031989,"Bandits vs Security Operatives, Zamfara",2025-03-22,2025-03-22,10,Bandits vs Security Operatives, Zamfara,10,0,2025-03,Saturday,2025
IBD031985,"Kidnappers Kill 1, Benue",2025-03-22,2025-03-22,1,Kidnappers Kill 1, Benue,1,0,2025-03,Saturday,2025
IBD032035,"Kidnap Victims, Kaduna",2025-03-22,2025-03-22,3,Kidnap Victims, Kaduna,3,0,2025-03,Saturday,2025
IBD031987,"Herdsmen Attack, Edo",2025-03-22,2025-03-22,1,Herdsmen Attack, Edo,1,0,2025-03,Saturday,2025
IBD031995,"Herders Kill Farmer, FCT (Abuja)",2025-03-22,2025-03-22,1,Herders Kill Farmer, FCT (Abuja),1,0,2025-03,Saturday,2025
IBD031990,"Assailants vs Security Man, Bauchi",2025-03-22,2025-03-22,1,Assailants vs Security Man, Bauchi,1,0,2025-03,Saturday,2025
IBD032011,"POS Operator, Adamawa",2025-03-22,2025-03-22,1,POS Operator, Adamawa,1,0,2025-03,Saturday,2025
IBD032021,"Generator Fume Kill 2, Rivers",2025-03-22,2025-03-22,2,Generator Fume Kill 2, Rivers,2,0,2025-03,Saturday,2025
IBD031992,"Communal Clash, Osun",2025-03-21,2025-03-21,2,Communal Clash, Osun,2,0,2025-03,Friday,2025
IBD031996,"Hoodlums vs Worshippers, Kaduna",2025-03-21,2025-03-21,1,Hoodlums vs Worshippers, Kaduna,1,0,2025-03,Friday,2025
IBD032040,"Man Dies in Hotel, Delta",2025-03-21,2025-03-21,1,Man Dies in Hotel, Delta,1,0,2025-03,Friday,2025
IBD032038,"Domestic Violence, Edo",2025-03-21,2025-03-21,1,Domestic Violence, Edo,1,0,2025-03,Friday,2025
